duration_bin,log10_total_gametocyte_density_bin,prob,duration_bin_min,duration_bin_max,log10_total_gametocyte_density_bin_min,log10_total_gametocyte_density_bin_max,immunity_bin
"(135, 140]","(3.6, 3.7]",0.003236245954692557,135,140,3.6,3.7,"(-0.001, 0.05]"
"(140, 145]","(3.5, 3.6]",0.009708737864077669,140,145,3.5,3.6,"(-0.001, 0.05]"
"(145, 150]","(3.4, 3.5]",0.003236245954692557,145,150,3.4,3.5,"(-0.001, 0.05]"
"(145, 150]","(3.5, 3.6]",0.012944983818770227,145,150,3.5,3.6,"(-0.001, 0.05]"
"(150, 155]","(3.0, 3.1]",0.003236245954692557,150,155,3.0,3.1,"(-0.001, 0.05]"
"(150, 155]","(3.3, 3.4]",0.003236245954692557,150,155,3.3,3.4,"(-0.001, 0.05]"
"(150, 155]","(3.4, 3.5]",0.003236245954692557,150,155,3.4,3.5,"(-0.001, 0.05]"
"(150, 155]","(3.5, 3.6]",0.022653721682847898,150,155,3.5,3.6,"(-0.001, 0.05]"
"(155, 160]","(3.2, 3.3]",0.003236245954692557,155,160,3.2,3.3,"(-0.001, 0.05]"
"(155, 160]","(3.4, 3.5]",0.003236245954692557,155,160,3.4,3.5,"(-0.001, 0.05]"
"(155, 160]","(3.5, 3.6]",0.016181229773462782,155,160,3.5,3.6,"(-0.001, 0.05]"
"(160, 165]","(3.5, 3.6]",0.019417475728155338,160,165,3.5,3.6,"(-0.001, 0.05]"
"(160, 165]","(3.6, 3.7]",0.009708737864077669,160,165,3.6,3.7,"(-0.001, 0.05]"
"(165, 170]","(3.2, 3.3]",0.003236245954692557,165,170,3.2,3.3,"(-0.001, 0.05]"
"(165, 170]","(3.3, 3.4]",0.003236245954692557,165,170,3.3,3.4,"(-0.001, 0.05]"
"(165, 170]","(3.5, 3.6]",0.006472491909385114,165,170,3.5,3.6,"(-0.001, 0.05]"
"(165, 170]","(3.6, 3.7]",0.006472491909385114,165,170,3.6,3.7,"(-0.001, 0.05]"
"(170, 175]","(3.4, 3.5]",0.006472491909385114,170,175,3.4,3.5,"(-0.001, 0.05]"
"(170, 175]","(3.5, 3.6]",0.016181229773462782,170,175,3.5,3.6,"(-0.001, 0.05]"
"(170, 175]","(3.6, 3.7]",0.012944983818770227,170,175,3.6,3.7,"(-0.001, 0.05]"
"(175, 180]","(2.9, 3.0]",0.003236245954692557,175,180,2.9,3.0,"(-0.001, 0.05]"
"(175, 180]","(3.3, 3.4]",0.003236245954692557,175,180,3.3,3.4,"(-0.001, 0.05]"
"(175, 180]","(3.6, 3.7]",0.006472491909385114,175,180,3.6,3.7,"(-0.001, 0.05]"
"(180, 185]","(3.2, 3.3]",0.003236245954692557,180,185,3.2,3.3,"(-0.001, 0.05]"
"(180, 185]","(3.4, 3.5]",0.003236245954692557,180,185,3.4,3.5,"(-0.001, 0.05]"
"(180, 185]","(3.5, 3.6]",0.019417475728155338,180,185,3.5,3.6,"(-0.001, 0.05]"
"(180, 185]","(3.6, 3.7]",0.006472491909385114,180,185,3.6,3.7,"(-0.001, 0.05]"
"(185, 190]","(3.2, 3.3]",0.003236245954692557,185,190,3.2,3.3,"(-0.001, 0.05]"
"(185, 190]","(3.5, 3.6]",0.042071197411003236,185,190,3.5,3.6,"(-0.001, 0.05]"
"(185, 190]","(3.6, 3.7]",0.009708737864077669,185,190,3.6,3.7,"(-0.001, 0.05]"
"(190, 195]","(3.2, 3.3]",0.003236245954692557,190,195,3.2,3.3,"(-0.001, 0.05]"
"(190, 195]","(3.4, 3.5]",0.003236245954692557,190,195,3.4,3.5,"(-0.001, 0.05]"
"(190, 195]","(3.5, 3.6]",0.019417475728155338,190,195,3.5,3.6,"(-0.001, 0.05]"
"(190, 195]","(3.6, 3.7]",0.016181229773462782,190,195,3.6,3.7,"(-0.001, 0.05]"
"(195, 200]","(3.0, 3.1]",0.003236245954692557,195,200,3.0,3.1,"(-0.001, 0.05]"
"(195, 200]","(3.3, 3.4]",0.003236245954692557,195,200,3.3,3.4,"(-0.001, 0.05]"
"(195, 200]","(3.4, 3.5]",0.009708737864077669,195,200,3.4,3.5,"(-0.001, 0.05]"
"(195, 200]","(3.5, 3.6]",0.025889967637540454,195,200,3.5,3.6,"(-0.001, 0.05]"
"(195, 200]","(3.6, 3.7]",0.025889967637540454,195,200,3.6,3.7,"(-0.001, 0.05]"
"(195, 200]","(3.7, 3.8]",0.003236245954692557,195,200,3.7,3.8,"(-0.001, 0.05]"
"(200, 205]","(3.3, 3.4]",0.003236245954692557,200,205,3.3,3.4,"(-0.001, 0.05]"
"(200, 205]","(3.5, 3.6]",0.038834951456310676,200,205,3.5,3.6,"(-0.001, 0.05]"
"(200, 205]","(3.6, 3.7]",0.009708737864077669,200,205,3.6,3.7,"(-0.001, 0.05]"
